bench,O2_vs_O3
2mm,1.0105395518099662
3mm,1.0162951092405752
atax,1.000442035965851
bicg,1.000002503095077
correlation,1.004124601611364
covariance,1.0035673359175932
gemm,0.9960162452106776
gesummv,1.0000020055262275
heat-3d,1.0118367441645357
jacobi-2d,1.005568966247406
mvt,0.9999979993894803
seidel-2d,1.0003881831463126
